Название,Компания,Требования,Обязаности,Зарплата,Опыт работы,Ссылка
Специалист по безопасности 1С/Администратор 1С,Элком-Электро,"Знать принципы разграничения доступов в современных решениях 1С (УТ, ERP, БП, ЗУП, Документооборот)",,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117831674
DevOps/Разработчик BPMSoft,ДЖИ БИ СИ ТИМ,"Глубокие знания платформы BPMSoft, опыт настройки системы с помощью стандартных инструментов конфигуратора + опыт настройки с ""0""","Развертывание и администрирование систем BPMSoft на различных платформах. Участие в проектах внедрения BPMSoft. Разработка, адаптация и настройка функционала BPMSoft.",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117840430
Специалист по информационной безопасности,ДиалогНаука,"Общее представление о сфере информационной безопасности (какие типы продуктов существуют, как работают, для каких целей используются)",Участие в проектировании комплексных систем защиты информации: Разработка проектной и рабочей документации (от технических заданий до программ и методик испытаний). ,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118195053
Инженер инфраструктурных почтовых решений,Системный софт,"Опыт настройки групповых политик (GPO) и аналогичных инструментов. Глубокое понимание принципов работы почтовых систем (SMTP, транспортировка, фильтрация, антиспам). ",Работа с последними версиями почтовых систем и инфраструктурных решений от российских разработчиков,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118293689
Специалист по информационной безопасности,Русьтелетех,Опыт работы в сфере информационной безопасности не менее 3-х лет. Понимание принципов информационной безопасности,Участие в сертификации программных и программно-аппаратных комплексов по требованиям безопасности информации. Проведение аудита в области защиты информации. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117753943
SRE/DevOps Engineer (WBus),WILDBERRIES,Требуемый опыт: 2+ года в DevOps/SRE/Release Engineering,"Развертывание, настройка и эксплуатация сервиса. Автоматизация процессов CI/CD, сборки и доставки релизов (включая тестовые среды)",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117691226
Инженер сопровождения платформы Гостех,SberTech,Уверенное владение Linux. Опыт работы с Docker. Навыки написания SQL-запросов(опционально),"DevOps инструменты (Jenkins, Bitbucket, Ansible, Terraform, Nexus). Облачные технологии, системы виртуализации (OpenStack, Kubernetes, Docker). БД (PostgreSQL). Брокер сообщений (Kafka). ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118210388
DevOps инженер,Московская Биржа,Опыт работы по направлению системного администрирования или DevOps от 2-х лет,,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/114024030
Инженер DevOps,Ростелеком - Центры обработки данных,Опыт работы DevOps инженером от 2 лет в аналогичной должности. Опыт администрирования виртуализированных информационных сред на базе KVM. ,Поддержка и оптимизация внутренних пайплайнов команды. Внедрение новых инструментов CI/CD конвейера. Автоматизация процессов разработки и сопровождения,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116372544
DevOps-инженер (Инвестиционный блок),РСХБ-Интех,"Понимание работы сетей и безопасности (маршрутизация, ДНС, сертификаты, http/https протокол)","Разработка скриптов автоматизированного развертывания ПО для тестовых и пром-контуров (linux, windows)",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117739674
"Старший специалист технической поддержки (SDH, DWDM)",Ростелеком,Высшее техническое образование. Опыт работы в сфере телеком от 5 лет,Прием и обработка обращений пользователей и заявок на формирование/оказание услуг. Регистрация и учет обращений и заявок пользователей. ,154000 - 190000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118433548
DevOps-инженер,Флант,Отличные знания Linux-систем — ежедневная эксплуатация от 3 лет; опыт в DevOps (как вы его сами понимаете) — от 1 года. ,"Поддерживать production так, чтобы бизнес мог быть спокоен. Спасать клиентов в случае аварий: быстро, решительно, профессионально. Выстраивать процессы CI/CD. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/110618144
Эксперт по защите персональных данных / DPO,Нанософт,Опыт работы в области защиты данных и соблюдения законодательства о персональных данных,Разрабатывать / дорабатывать нормативные документы по обработке и защите персональных данных. Контролировать правильность обработки персональных данных подразделениями компании,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117403771
Solution Engineer Intern,Infobip,You are available to start with internship in April 2025,Understanding of Infobip’s offerings from both technical and commercial perspectives. Gathering and analyzing technical specifications from clients. ,Не указана,Нет опыта,https://hh.ru/vacancy/118082942
Devops-инженер,РТК-СОФТ,"Опыт работы с ПО CryptoPro, понимание концепций работы с их ключами и сертификатами. Опыт создания и рефакторига ansible playbook . ","Проектная работа в kubernetes: создание новых helm charts, изменение существующих, решение возникающих проблем",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118283337
Инженер по информационной безопасности (статический анализ),Группа компаний Астра,"Навыки администрирования Linux. Понимание внутреннего устройства Linux. Навыки применения скриптовых языков (Python, Bash). Опыт разработки на C/C++. ","Проведение статического анализа кода системного и прикладного ПО, ядра ОС Linux и его модулей",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118362921
Системный архитектор/Главный инженер проектов,Комс,Высшее техническое образование. Опыт работы ГИПом/системным архитектором в комплексных инфраструктурных проектах от 3-х лет,Участвовать в проектной деятельности компании в роли архитектора/ГИПа,250000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/117680100
Сетевой инженер,ТЕЛЕРУС,Знание и настройка Cisco. Знание и настройка Брокейд. Знание и настройка Элтекс. Настройка Ядра сети на cisco 6300 и Элтекс. ,,150000 - 250000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/117836045
Инженер ЦОД (сервера и СХД),MERLION,"Опыт работы с сетевым и вычислительным оборудованием (СХД, сервера, коммутаторы SAN). Опыт диагностики неисправностей ПК, Серверов, Сетевого оборудования. ","Рабочие задачи: Обслуживание, диагностика и восстановление работоспособности серверов",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118205331
DevSecOps,Ростелеком - Центры обработки данных,Высшее образование в области информационных технологий или информационной безопасности. Владение методиками безопасной разработки ПО,Внедрение культуры безопасной разработки в компании в соответствии с ГОСТ Р 56939-2016,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/116099721
Инспектор Информационно - Аналитического отдела,ФУД СИТИ (ООО АТТ Групп),Высшее юридическое образование,Решение внутренних споров и разногласий на территории объекта,100000 - 100000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117741351
Главный специалист по информационной безопасности (методология и аттестация),Консист-ОС,"Высшее профессиональное образование в области информационной безопасности, либо высшее профессиональное образование с переподготовкой по направлению ""Информационная безопасность""",Поддержка процессов обеспечения информационной безопасности. Проектирование систем защиты информации: Для объектов критической информационной инфраструктуры. Информационных систем персональных данных. ,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118045997
"Инженер (тестовые среды, сервер)",Газпромбанк,"Опыт сопровождения серверов приложений (Хотя бы одного из: IBM WebSphere, Oracle WebLogic, JBoss AEP, JBoss WildFly, Apache TomCat, Karaf). ",Поддержка приложений банка на базе микросервисной архитектуры. Развертывание тестовых сред. Установка новых релизов на продуктивный контур и тестовые среды. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117522916
Инженер по телекоммуникациям,Нетворк Солюшнс,"Ethernet-коммутаторы, маршрутизаторы, межсетевые экраны. Wi-Fi решения. VoIP и SoftSwitch. Высшее техническое образование","Консультировать клиентов по конфигурации и настройке оборудования Eltex, модернизировать и стоить сети для них",150000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117689939
Security Assessment Specialist,Лаборатория Касперского,"Опыт работы в области практического анализа защищенности, тестирования на проникновение (от 2 лет). Владение основными инструментами тестирования на проникновение. ","Выполнение различных видов работ по анализу защищенности и тестированию на проникновение, в том числе: Внешние и внутренние тестирования на проникновение. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/113715412
DevOps/SRE инженер,Гринатом,"Знание базовых ИТ-технологий (модель OSI, DNS, PKI, Сети, виртуализация, контейнеризация, протоколы аутентификации и т.д.)",Поддерживать внутреннюю платформу разработки и обеспечивать её стабильность и производительность,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/116547652
DevOps-инженер,Альфа-Банк,Опыт работы на позиции DevOps инженера. Понимание принципов CI/CD и опыт их внедрения. Опыт работы с системами управления конфигурациями. ,"Разрабатывать и внедрять автоматизированные процессы для сборки, тестирования, развертывания и мониторинга приложений",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116577047
Сетевой инженер,Ventra,Опыт работы на релевантной позиции от 2-х лет,"Обеспечение работоспособности сети Компании (NGFW, Cisco, VPN системы, корпоративный Wi-Fi). Участие в проектах по модернизации сетевой инфраструктуры. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117526008
Сетевой инженер,Национальная система платежных карт,Опыт работы от 3 лет в сфере сетевых и телекоммуникационных технологий в корпоративном сегменте или интеграторе,"Мониторинг, поддержка сети передачи данных (BGP, VXLAN). Управление сетевыми доступами (межсетевые экраны Check Point). Работа с обращениями пользователей и клиентов. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118114717
Инженер по сопровождению,СБЕР,Опыт сопровождения/поддержки работы специализированного ППО от 2-х лет. Навыки администрирования Linux от 1 (одного) года - уровень middle. ,Администрирование и сопровождение АС в качестве 2-ой линии сопровождения ППО (не «железа»),Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118005556
Полевой инженер программист по внедрению,Экспасофт,"Базовые знания операционных систем Linux, включая умение работать с командной строкой и подключаться к удаленным серверам через SSH. ",Одним из текущих направлений разработки является использование нейронных сетей в задаче фотограмметрии для реконструкции модели города по набору снимков. ,90000 - 150000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118219921
Cloud Engineer / Инженер по облачным сервисам,Linxdatacenter,Понимание принципов работы и опыт эксплуатации ОС Linux. Понимание принципов работы и опыт эксплуатации систем виртуализации на базе qemu/KVM. ,Работа в команде облачных сервисов сети ЦОД. Сопровождение и участие в развитии облачных сервисов,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/106765781
Эксперт (эксплуатация инфраструктуры),Cloud.ru,Высшее образование в области ИТ. Опыт в решении инцидентов ИТ-инфраструктуры,"Определение метрик и порогов, отражающих состояние здоровья ИТ-инфраструктуры (сеть/SDN, серверы, СХД, и связанные с ними системы). ",Не указана,Более 6 лет,https://hh.ru/vacancy/117947829
Специалист по информационной безопасности/методолог,БУРГЕР КИНГ РОССИЯ,"Опыт работы в сфере информационной безопасности от 3 лет (методологом, аналитиком ИБ или в смежных ролях)",Проведение оценки рисков информационной безопасности и разработка мер по их минимизации,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117931914
Администратор средств защиты информации,Киберпротект,Имеешь знания клиентских и серверных операционных систем Windows и Linux,Анализ защищенности информационных систем и выявление уязвимостей в ИТ-инфраструктуре. Проверку и согласование ИТ-проектов на соответствие требованиям информационной безопасности. ,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118277810
Ведущий системный администратор,МИР ВЕНДИНГА,"Опыт работы в области администрирования сетей. Знание программных продуктов Docker Swarm, Kafka, Grafana, Proxmox, Nginx, Apache",Принять участие в создании высоконагруженных сервисов. Получить практический опыт в разработке промышленных программных решений. Познакомиться с торговыми бизнес-процессами. ,200000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/115686622
DevOps,Т1,Опыт администрирования Linux систем от 3 лет. Опыт администрирования высоконагруженных систем. Опыт работы с системами виртуализации и Linux-контейнерами(Docker) . ,"Управление CI/CD. Эксплуатация текущих, развёртывание новых стендов продукта(Аналитическая система хранения данных). Поддержка процедур деплоя. Обеспечение безопасности.",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/116708188
DevOps-инженер Middle+/Senior,KTS,Опыт работы DevOps-инженером/SRE более 3х-лет. Опыт с Kubernetes и Helm. Настройка любого CI/CD для приложения. ,,350000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/117946209
IT-инженер (слаботочные сети),Торакс,Опыт работы в сфере систем безопасности от 2-х лет,,130000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118026089
Tech Lead,Ростелеком - Центры обработки данных,Опыт администрирования Linux (RHEL/CentOS) более 5-х лет. Опыт управления группой инженеров,,Не указана,Более 6 лет,https://hh.ru/vacancy/116372552
DevOps Engineer,СБЕР,"Опыт разработки CI\CD для Jenkins с нуля, а также умение разбираться в чужих Pipeline. Опыт разработки Ansible Playbooks. ",Обеспечение DevOps процесса на системах в зоне ответственности команды. Рефакторинг существующих решений,380000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/117881319
DevOps специалист (Сокольники и м. Авиамоторная),РТ МИС,"Опыт администрирования ОС Linux (в том числе отечественные дистрибутивы), администрирования Docker","Сопровождение инсталляций ЕЦП.МИС, размещенных в ЦОД Министерства обороны и МВД.",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118258138
"Ведущий специалист в техотдел (системный интегратор, Enterprise оборудование)",ВБК,Высшее образование в области ИТ. Опыт работы в крупных компаниях\системных интеграторах\дистрибьюторах. Знание принципов построения сетей,Подготовка технических решений по Enterprise продуктам (спецификации),200000 - 250000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/115564795
Middle DevOps engineer [ИРТЕЯ],МТС,"Опыт работы от 3 лет на должности DevOps инженера. Знание принципов работы ОС Linux (сеть, сборка deb/rpm packages). ",Проектировать CI/CD решения и инструменты для поддержки жизненного цикла разработки сервисов и приложений,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/116753121
Аналитик данных,NGENIX,"Практический опыт в предметной области. SQL/Clickhouse (обязательно оконные функции), Python, Grafana","Анализировать HTTP трафик клиентов, находить аномалии, похожие на ботов. Базовая статистика (распределения, проверка гипотез и оценка значимости). Кластерный анализ.",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117232109
Младший специалист по анализу вредоносного кода и проактивному поиску угроз,F6,"Опыт работы с песочницами, а также инструментами статического и динамического анализа программ под Windows и *nix-подобные операционные системы. ",Компания F.A.C.C.T,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117638774
Специалист по информационной безопасности,ФГБНУ НИИР им. В.А. Насоновой,Высшее образование (ИБ). Опыт работы на аналогичной позиции не менее года. Плюсом будет понимание работы медицинской организации,Анализ защищенности информационных систем организации. Разработка мер по обеспечению защиты информации и эффективному использованию средств контроля,90000 - 90000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/109567154
Специалист информационной безопасности Библиотеки иностранной литературы,ФГБУК Всероссийская государственная библиотека иностранной литературы им. М. И. Рудомино,Высшее образование по профилю деятельности или опыт работы по профилю не. Менее двух лет,Составление документации по информационной безопасности (далее ИБ). Обработке персональных данных. - Взаимодействие с регуляторами и контролирующими органами в сфере. ,54000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118067363
Сетевой инженер в команду Облака КРОК,КРОК,"Уверенные знания сетевых протоколов и технологий (TCP/IP, маршрутизация, vlan, firewall) на уровне CCNP",Работать с сетевой инфраструктурой Облака и ЦОД. Автоматизировать решения инфраструктурных задач. Поддерживать и развивать сетевую подсистему Облака и ЦОД. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/106348666
Системный администратор Linux/DevOps инженер,Сеть фитнес-клубов Spirit,"Релевантный опыт от 3 лет. Высшее техническое образование. Знание: Apache, nginx, Kubernetes, Docker, Zabbix, Grafana","Docker, Kubernetes. CI/CD: Jenkins, GitLab CI.",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/114985012
Инженер информационной безопасности,Энт Сервисез,Высшее образование по специальности «Информационная безопасность» или высшее образование и диплом о профессиональной переподготовке по специальности «Информационная безопасность». ,,125000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/117470739
DevOps Engineer (Streaming),Mayflower,Experience in Linux administration. Experience in Baremetal servers. Experience with Gitlab CI/CD. Experience writing and debugging Ansible roles. ,Supplying as a DevOps at Streaming project with high load (build/deploy/watching and observability),Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117531028
"Инженер-тестировщик (Hardware, ИТ оборудование)",Т1,Возможный опыт и навыки: Умение работать с системами регистрации ошибок и грамотно составлять баг-репорты,,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/118007884
Сетевой инженер VoIP Cisco,Ай-Пи-Ти-Пи,"Знания принципов IP-телефонии и архитектуры сетей телефонной связи. Уверенные знания протоколов SIP, SS7, ISDN","Проектирование, настройка и сопровождение решений IP-телефонии на базе оборудования и ПО Cisco Unified Communication Solution",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118296722
Инженер по инфраструктурным Open Source решениям,Ростелеком,"Любой Linux. Опыт администрирования k8s. Опыт автоматизации на (минимум одно): ansible/salt/puppet, bash/python/go. ","Администрирование кластеров k8s (~100): установка, обновление, мониторинг, работа с инцидентами.",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118447358
Инженер оборудования HP,Инфосистемы Джет,,Диагностика и локализация неисправностей. Поиск Workaround-решения и разрешение инцидентов,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116551838
Инженер по информационной безопасности (Группа управления доступом),WILDBERRIES,Опыт аудита процессов и составления документации по итогам аудита. Опыт формирования и описания бизнес-процессов,"Проведение аудитов текущих процессов управления доступом, оформление результатов (отчеты, рекомендации, дорожные карты) и участие во внедрении процессов ИБ. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117207582
DevOps-инженер,Digital Spirit,Опыт работы в DevOps от 2х лет. Опыт системного администрирования Linux серверов. Уверенные навыки эксплуатации Kubernetes,"Развертывание, поддержка и развитие платформ оркестрации контейнеров (Red Hat OCP, OKD, Deckhouse, k8s DIY)",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/108960704
DevSecOps-инженер,ЦИБИТ,Высшее образование в сфере Информационной безопасности или Информационные технологии + программа повышения квалификации по ИБ,"Интеграция практик безопасности в процессы разработки и эксплуатации программного обеспечения, включая инструменты SAST, DAST, SCA, Container Security",400000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/114711719
Pre-sale инженер по сетевому оборудованию,Комкад,Образование высшее техническое. Английский – не ниже Intermediate,Изучение рынка оборудования и подбор вендоров для партнерской работы по направлению. Подбор оборудования по характеристикам или техническому заданию. ,170000 -  RUR,От 1 года до 3 лет,https://hh.ru/vacancy/118081622
DevOps инженер,MANGO OFFICE,Глубокие знания Linux (опыт администрирование от 3 лет). Понимание паттернов построения отказоустойчивых и высокодоступных систем,Разработка решений CI/CD для продуктов компании. Развитие инфраструктурной платформы на основе kubernetes,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117070912
Сетевой инженер (Cisco),"БЛАГОСОСТОЯНИЕ, Негосударственный пенсионный фонд","Знание линейки сетевого оборудования Cisco. Навыки обслуживания сетей, построенных на базе оборудования Cisco. Наличие сертификата Cisco уровня CCNA. ","Администрирование сетевого оборудования Cisco. Установка, настройка, внесение изменений в структуру регионально распределенной сети. Резервное копирование и восстановление конфигураций. ",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117881300
DevOps-инженер,HRP,Опыт работы с Kubernetes и Docker. Опыт настройки Gitlab CI. Опыт работы с облачными платформами,"Выстраивать инфраструктуру для проекта. Настраивать, автоматизировать и поддерживать CI/CD процесс. Обеспечивать бесперебойную работу инфраструктуры",200000 - 270000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118047951
Специалист по защите информации,НИИАС,Опыт работы по специальности не менее 1 года. Высшее профессиональное образование,"Проектирование, внедрение и сопровождение проектов по защите информации автоматизированных и информационных систем ОАО «РЖД»",200000 RUR,От 1 года до 3 лет,https://hh.ru/vacancy/115708808
Аналитик DLP,Крупный российский банк,"Знание и понимание работы сетевых протоколов (OSI и/или tcp/ip). Базовое понимание принципов работы Active Directory (механизмы аутентификации, атаки). ",Взаимодействие со специалистами других направлений. Реагирование на события систем контроля за утечками информации,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118286128
Ведущий администратор СЗИ,АШАН Ритейл Россия,"Высшее образование (ИТ/ИБ). Опыт работы с решения класса IDM, PAM. Опыт управления политиками AD. Опыт написания скриптов на PowerShell.",Осуществление руководства группой управления доступа (3 работника). Внедрение и дальнейшее администрирование системы IDM (операционный и прикладной уровни),Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/116141164
Эксперт по мониторингу (SOC L1),Альфа-Банк,Опыт работы в SOC от 1 года. Знание средств и технологий обеспечения безопасности Windows,Мониторинг всех событий информационной безопасности поступающих в систему мониторинга в режиме реального времени 24х7,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/117439322
Cпециалист по защите персональных данных / DPO,Simple,Высшее юридическое/техническое образование. Опыт работы в области защиты персональных данных от 2-х лет. Знание законодательства о защите информации. ,Разработка и внедрение политики защиты персональных данных (ПДн) в соответствии с требованиями законодательства,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117697470
Сетевой инженер,Росгосстрах,Высшее или среднее техническое образование (в области информационных технологий),"Настройка и поддержка комплексов RA VPN. Настройка и поддержка комплексов межсетевого экранирования: Код Безопасности (Континент 4), Cisco ASA. ",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/115552344
Аналитик SOC,F6,"Понимаешь современные векторы, тактики и техники проведения кибератак. Разбираешься в принципах работы сетевых протоколов и построения сетей","Проводить мониторинг событий, связанных с изменением уровня защищенности периметра",Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/115710110
Специалист по видеонаблюдению и СКС,ТЕХСТРОЙКОНТРАКТ,"Высшее образование. Опытный пользователь ПК (Word, Excel, Visio, CAD)",Поддержка и развитие систем видеонаблюдения компании. Взаимодействие с подрядчиками в регионах. Ведение договоров по СКС и видеонаблюдению. Администрирование ПО Интеллект.,185000 -  RUR,От 3 до 6 лет,https://hh.ru/vacancy/116228924
"Ведущий инженер (VDI, терминальный доступ)",Т1,Опыт работы с платформами TS. Понимание работы терминальных сервисов на решение Citrix и Microsoft. Уверенные навыки в сопровождении ОС Windows. ,Поддержка платформы TS на решении Citrix. Поддержка отечественной платформы TS на решении Базис,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/116317030
DevOps engineer,YADRO,Опыт работы в области DevOps/SRE от 1 года. Опыт написания CI/CD пайплайнов различной степени сложности в Gitlab CI. ,Автоматизировать процесс выпуска ПО с использованием Gitlab CI,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/95929622
DevOps-инженер (middle+ / senior),РСХБ-Интех,Опыт работы с Linux системами на экспертном уровне. Опыт работы с GitLab CI. Знание контейнеризации (Docker) и оркестрации (Kubernetes). ,Обеспечивать стабильность и производительность рекомендательной платформы. Автоматизировать и совершенствовать процессы,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117571804
Специалист по информационной безопасности (аналитик ИБ),НТЦ Вулкан,"Высшее техническое образование (предпочтительно в области информационной безопасности). Знание нормативных документов в области защиты информации (ИСПД, ГИС, ЗОКИИ). ",,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/114174632
Cистемный администратор (Информационная безопасность),Ростелеком,"Профессиональные навыки в работе с операционными системами Linux (особенно приветствуется знание RHEL based, российских дистрибутивов на базе Linux). ","Обеспечение стабильной работы и развитие ИТ-инфраструктуры, включая платформы виртуализации, серверное оборудование, системы хранения данных",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/107027242
Администратор\Архитектор Linux,Bell Integrator,Опыт работы от 3 лет. Образование: Высшее техническое. Требуемые языки (степень знания): Технический английский/ не ниже pre-intermediate. ,Поддержка аппаратно-программного обеспечения на платформе UNIX: Развертывание (установка). Конфигурирование. Сопровождение системы антивирус DrWeb под OS Linux. Администрирование. ,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/117536162
"Руководитель IT- направления, Tech Lead (инфраструктура)",Лига Цифровой Экономики,"Желание и возможности выступать в роли ""Играющего тренера""","Проектировать технологический стек базовой и прикладной ИТ-инфраструктуры. Управлять жизненным циклом IT-проектов, включая оценку, планирование, внедрение",Не указана,От 3 до 6 лет,https://hh.ru/vacancy/118026383
Главный специалист отдела аттестации объектов информатизации ГТ,НПП ОПЛОТ,знание руководящих документов по защите информации. - профильное высшее (не законченное высшее) образование,участие в проведении аттестационных испытаний объектов информатизации по требованиям безопасности информации. - установка и настройка средств защиты информации от НСД. - ,150000 - 180000 RUR,От 3 до 6 лет,https://hh.ru/vacancy/118224365
DevOps-инженер,AVON,"Знание англ. языка: B2, чтение документации",Конфигурация и настройка механизмов развертывания приложений. Автоматизация соответствующих процессов,Не указана,От 3 до 6 лет,https://hh.ru/vacancy/115270189
SRE-инженер,Яндекс,Отвечать за здоровье и аптайм базовой инфраструктуры. Работали с Unix-системами (Linux или FreeBSD),Улучшать архитектуру систем управления и автоматизации работы кластера. Делать инфраструктурное облако масштабируемым и высокодоступным,Не указана,От 1 года до 3 лет,https://hh.ru/vacancy/108752335
